表名,字段名
dwd_ft_summary_yield_mer_eng_v,lot_no、start_time、wafer_lot_no、tout_no、ippn、mpn、recipe、tester_no、handler_no、change_kit_id、dsa_no、load_board、test_step、temperature、test_program、trace_code、operator、device_name、qty_in、qty_out、yield、end_time、oi_version、vi_version、engineer_mode、subcon、ewo、ti、test_time、in_qty_out、in_end_time、test_flag、filename、source_sysid、extract_time、time_date、yas_load_time
dwd_ft_summary_yield_mer_prod_v,lot_no、start_time、wafer_lot_no、tout_no、ippn、mpn、recipe、tester_no、handler_no、change_kit_id、dsa_no、load_board、test_step、temperature、test_program、trace_code、operator、device_name、qty_in、qty_out、yield、end_time、oi_version、vi_version、engineer_mode、subcon、ewo、ti、test_time、in_qty_out、in_end_time、test_flag、filename、source_sysid、extract_time、time_date、yas_load_time
dwd_ft_summary_yield_prod_v,lot_no、start_time、wafer_lot_no、tout_no、ippn、mpn、recipe、tester_no、handler_no、change_kit_id、dsa_no、load_board、test_step、temperature、test_program、trace_code、operator、device_name、qty_in、qty_out、yield、test_flag、end_time、oi_version、vi_version、engineer_mode、subcon、ewo、ti、test_time、filename、source_sysid、extract_time、time_date、yas_load_time
dwd_ft_tt_sitelevel_rawdata_eng_v,lot_no、start_time、device_name、test_step、end_time、touch_down、site_num、tb_seq、tb_num、tb_name、test_time、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_tt_sitelevel_rawdata_prod_v,lot_no、start_time、device_name、test_step、end_time、touch_down、site_num、tb_seq、tb_num、tb_name、test_time、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_tt_sitelevel_summary_eng_v,lot_no、start_time、device_name、test_step、end_time、tb_seq、tb_num、test_name、stat_count、stat_mean、stat_stdev、stat_min、stat_q1、stat_q2、stat_q3、stat_max、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_tt_sitelevel_summary_prod_v,lot_no、start_time、device_name、test_step、end_time、tb_seq、tb_num、test_name、stat_count、stat_mean、stat_stdev、stat_min、stat_q1、stat_q2、stat_q3、stat_max、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_met_image,met_key、met_site_id、image_id、image_path、yas_load_time
dwd_met_inline_dtl_v1,wafer_id、test_time、product_id、route_id、source_lot_id、lot_id、owning_fab、fab_site_id、current_fab、end_time、recipe_name、measure_eqp_id、operator_id、process_eqp_id、process_recipe、lot_type、spc_flag_extern、spc_flag_intern、chamber_id、met_site_id、site_x、site_y、fail_flag、measure_item、measure_value、unit、target、uvl、lvl、ucl、lcl、usl、lsl、xbar_ucl、xbar_lcl、xbar_target、rs_ucl、rs_lcl、rs_target、rs_chart_template、is_exclude、eda_load_time、validation_type、sample_id、measure_edc_plan、met_key、met_spec_key、measure_step_key、process_step_key、chart_type、module、process_step_id、process_chamber、process_stage、measure_step_id、yas_load_time
dwd_met_inline_image,met_key、met_site_id、image_id、image_path、yas_load_time
dwd_met_inline_param_v,wafer_id、lot_id、wafer_no、start_time、parameter_name、met_key、x、y、site_id、measure_value、site_x、site_y、die_x、die_y、fail_flag、is_exclude、end_time、product_id、chart_type、fab_site_id、owning_fab、current_fab_id、ooc_cnt、oov_cnt、oos_cnt、site_cnt、xbar_ooc_cnt、unit、q1、q2、q3、min、max、std、avg、range、p1、p5、p10、p90、p95、p99、ext_max、ext_min、ext_sigma、ext_mv、target_value、valid_high、valid_low、control_high、control_low、scrap_high、scrap_low、xbarcontrol_high、xbarcontrol_low、xbartarget_value、rscontrol_high、rscontrol_low、rstarget_value、module、process_stage、process_step_seq、process_step_id、process_eqp_id、process_chamber_id、process_time、process_recipe、measure_stage、measure_step_seq、measure_step_id、measure_eqp_id、measure_recipe、spc_flag_extern、spc_flag_intern、spc_com_extern、spc_com_intern、spc_chart、operator_id、lot_type、run_card_id、retest_flag、rework_flag、yas_load_time
dwd_met_inline_wafer,wafer_id、start_time、lot_id、wafer_no、product_id、owning_fab、fab_site_id、current_fab、site_count、end_time、operator_id、measure_recipe、process_recipe、process_stage、process_route_id、process_step_id、process_step_seq、process_eqp_id、process_chamber_id、measure_group、measure_stage、measure_route_id、measure_step_id、measure_step_seq、measure_eqp_id、measure_edc_plan、process_time、pilot_flag、spc_com_extern、module、yas_load_time
dwd_met_offline_dtl,wafer_id、start_time、met_offline_key、parameter_name、site_id、value、lot_id、srclot_id、wafer_no、product_id、owning_fab、fab_site_id、current_fab、measure_recipe、process_recipe、process_stage、process_route_id、process_step_id、process_step_seq、process_eqp_id、process_chamber_id、measure_group、measure_stage、measure_route_id、measure_step_id、measure_step_seq、measure_eqp_id、yas_load_time
dwd_met_offline_param_v,wafer_id、start_time、lot_id、met_offline_key、parameter_name、x、y、site_id、measure_value、fail_flag、is_exclude、srclot_id、wafer_no、product_id、chart_type、fab_site_id、owning_fab、current_fab_id、ooc_cnt、oov_cnt、oos_cnt、site_cnt、unit、q1、q2、q3、min、max、std、avg、range、p1、p5、p10、p90、p95、p99、ext_max、ext_min、ext_sigma、ext_mv、target_value、valid_high、valid_low、control_high、control_low、scrap_high、scrap_low、xbarcontrol_high、xbarcontrol_low、xbartarget_value、rscontrol_high、rscontrol_low、rstarget_value、module、process_stage、process_step_seq、process_step_id、process_eqp_id、process_chamber_id、process_time、process_recipe、measure_stage、measure_step_seq、measure_step_id、measure_eqp_id、measure_recipe、spc_flag_extern、spc_flag_intern、spc_com_extern、spc_com_intern、spc_chart、operator_id、run_card_id、yas_load_time
dwd_met_offline_wafer,wafer_id、start_time、lot_id、srclot_id、wafer_no、product_id、owning_fab、fab_site_id、current_fab、measure_recipe、process_recipe、process_stage、process_route_id、process_step_id、process_step_seq、process_eqp_id、process_chamber_id、measure_group、measure_stage、measure_route_id、measure_step_id、measure_step_seq、measure_eqp_id、yas_load_time
dwd_met_wafer,wafer_id、start_time、lot_id、wafer_no、product_id、owning_fab、fab_site_id、current_fab、site_count、end_time、operator_id、measure_recipe、process_recipe、process_stage、process_route_id、process_step_id、process_step_seq、process_eqp_id、process_chamber_id、measure_group、measure_stage、measure_route_id、measure_step_id、measure_step_seq、measure_eqp_id、measure_edc_plan、yas_load_time
dwd_wafer_bonding_multi,wafer_id、bonding_type、bonding_name、bonding_wafer_id、bonding_t7code、bonding_lot_id、owning_fab、fab_site_id、yas_load_time
dwd_wafer_bonding_v,wafer_id、array_wafer_id、cmos_wafer_id、array_t7code、cmos_t7code、array_lot_id、cmos_lot_id、owning_fab、fab_site_id、yas_load_time
dwd_wat_param_v,owning_fab、fab_site_id、current_fab、product_type、product_id、lot_id、wafer_id、start_time、probecard_id、end_time、recipe_name、recipe_version、measure_eqp_id、operator_id、lot_type、test_type、wat_site_key、site_cnt、site_id、die_x、die_y、site_x、site_y、fail_flag、limit_file、parameter_type、parameter_id、paramter_name、value、unit、target、uvl、lvl、usl、lsl、ucl、lcl、load_seq_no、bond_wafer_id、bond_lot_id、bond_wafer_no、wat_wafer_key、wat_spec_key、retest_flag、rework_flag、lot_key、load_time、validation_type、yas_load_time
dwd_wat_wafer,wafer_id、start_time、lot_id、wafer_no、product_id、owning_fab、fab_site_id、current_fab、probecard_id、operator_id、limit_file、test_type、wat_site_key、site_count、end_time、recipe_name、recipe_version、measure_eqp_id、fail_flag、bound_lot_id、bound_wafer_id、bound_wafer_no、load_seq_no、wat_wafer_key、lot_key、load_time、validation_type、yas_load_time
dwd_weh_qtime,wafer_id、process_start_time、product_id、lot_id、eqp_id、chamber_id、recipe_id、trackin_time、process_end__time、trackout_time、plan_id、route_id、step_id、substep、step_no、last_step_id、last_substep、last_step_no、last_process_end__time、qtime、stage、boatposition、group_str、owning_fab、fab_site_id、batch_id、reticle_id、current_fab、handle、yas_load_time
dwd_wip_foup_hist,foup_id、event_time、event_name、state、lot_id、user_id、carrier_type、carrier_category、processing_status、component_qty、owner_info、carrier_kind、carrier_vendor、current_clean_cnt、last_clean_time、comment、eqp_id、fab_site_id、owning_fab、current_fab、yas_load_time
